ALL VALUES ARE ARE LOG(2) [EXPRESSION RATIOS] 					Experimental treatment:	15 microg/ml Nor, 2 min	15 microg/ml Nor, 5 min	15 microg/ml Nor, 10 min	15microg/ml Nor, 20 min	15 microg/ml Nor, 30 min	50 microg/ml Nor, 2 min	50 microg/ml Nor, 5 min	50 microg/ml Nor, 10 min	50 microg/ml Nor, 20 min	50 microg/ml Nor, 30 min	42º C, 2 min	42º C, 5 min	42º C, 10 min	42º C, 20 min	42º C, 2 min	42º C, 5 min	42º C, 10 min	42º C, 20 min	15 microg/ml Nor, 2 min	15 microg/ml Nor, 3 min	15 microg/ml Nor, 4 min	15 microg/ml Nor, 5 min	15 microg/ml Nor, 7 min	15 microg/ml Nor, 10 min	15 microg/ml Nor, 15 min	15 microg/ml Nor, 20 min	15 microg/ml Nor, 30 min	50 microg/ml Nor, 2 min	50 microg/ml Nor, 5 min	50 microg/ml Nor, 10 min	50 microg/ml Nor, 20 min	50 microg/ml Nor, 30 min	20 microg/ml Novo, 5 min	50 microg/ml Novo, 5 min	200 microg/ml Novo, 5 min
polB 	b0060	DNA_polymerase_II	0.4443832837	1	0	-0.3219	0.5361	1.084	1.417	1.828	0.6135	1.124	1.444	2.195	2.551	-0.1681	-0.05889	0.2987	-0.02915	0.3334	0.251	0.3785	0.3896	0.9855	0.66525	0.9709	2.848	1.511	3.455	1.761	3.602	1.827	0.6229	1.59	2.202	2.074	2.336	1.623	1.778	1.816
araD 	b0061	L-ribulose-5-phosphate_4-epimerase	0.5016650779	0.9645	-0.0521468566	0.2987	-0.4344	0.1375	1.118	0.2265	-0.1047	0.2016	0.07039	0.3785	0.5361	-0.737	-0.9159	-1.184	-0.6215	0.3448	-0.9434	-0.7612	-0.152	0.5656	0.7599	0.4957	0.251	0.55815	0.7312	0.59435	0.6323	0.525	1.345	0.4222	0.6323	0.5261	0.05658	0.9782	1.696	2.519
araA 	b0062	L-arabinose_isomerase	0.32267798	1	0	-0.3401	-0.1047	-0.074	0.6415	0.3334	0.1375	-0.152	0.111	1.043	0.546	0.04264	0.01436	-0.2176	0.2141	0.2265	0.4647	0.1506	0.2869	0.1375	0.7441	0.5261	0.5059	0.86175	0.7049	0.8358	1.58	0.5815	-0.0145	0.3448	0.669	1.104	1.195	-0.811	-1.029	0.2016
araB 	b0063	L-ribulokinase	0.3700309107	1	0	0.07039	-0.5564	0	0.585	0.275	0.02857	-0.1361	-0.3401	0.84	0.3219	-0.6215	-0.2515	-0.889	-0.6666	0.1375	-0.5995	-0.7131	-0.3771	0.111	0.48175	0.1763	-0.811	0.49875	0.04264	0.5423	0.6229	0.31615	1.077	1.043	0.9336	1.731	1.345	-0.02915	0.05658	-0.8365
araC 	b0064	transcriptional_regulator_for_ara_operon	0.1566772368	1	0	-0.811	-1.218	-0.5995	0.9561	-0.5564	0.07039	0.774	0.189	1.406	1.05	-0.1361	0.7655	-0.415	0.7398	0.4436	0.7991	0.5261	1.287	-0.2009	-0.205585	-0.04394	-0.454	0.2016	0.09761	0.3334	2.772	0.387	0.111	0.7049	0.4222	0.696	0.4854	0.2265	-0.2515	-0.2345
yabJ 	b0066	putative_ATP-binding_component_of_a_transport_system	0.7940131617	0.000625	-10.6438561898	0	-0.3771	0.111	-0.3959	-0.5778	-0.4344	-0.5353	-0.2863	-1.059	-0.811	-0.8625	-1.69	-0.7612	0.8074	0.8237	-0.3771	1.163	1.183	0.275	0.5069	0.3785	0.6781	0.56615	1.07	0.51515	1.07	0.525	0.8237	0.5558	0.6871	0.7485	0.5059	0.5945	1.144	1.459
yabK 	b0067	putative_transport_system_permease_protein	0.4901772985	0.150375	-2.7333633575	-0.415	-0.2345	-0.2515	-0.5995	-0.9159	-0.4344	0.1375	0.01436	-0.8625	-0.415	0.433	0.6415	-0.811	0.9486	1.773901	0.696	1.195	0.9855	0.516	0.5842	0.3219	0.4436	0.6312	0.6415	0.76545	0.4647	0.41185	0.926	0.8953	-0.3401	0.1506	-0.1681	0.6508	0.1243	0.5656
tbpA 	b0068	thiamin-binding_periplasmic_protein	0.6329057564	0.018625	-5.7466157642	0.275	0.1506	0.2016	-0.04394	-0.415	0.2987	0.251	0.3896	-0.2009	-0.4739	0.263	0.2869	-0.08927	0.04264	0.9635	0.4751	0.774	0.4854	0.4222	0.4751	0.714229	0.6323	0.9782	0.8237	0.4005	0	0.035195	0.585	0.5361	0.4751	0.5558	0.251	0.9635	1.526	1.465
yabN 	b0069	putative_transport_protein	0.4376896001	0.73725	-0.4397741776	0.111	-0.074	0.08406	-0.152	0.3561	-0.3219	-0.2176	-0.08927	0.111	0.08406	1.189	1.655	0.3334	0.05658	1.945	2.333	1.678	0.8718	0.1763	-0.340195	-0.0145	0.6508	0.2252	1.118	0.31555	0.7824	0.4891	0.5059	1.104	0.8074	1.281	0.5261	1.227	1.872	1.561
setA 	b0070	Sugar_efflux_protein	0.2197137943	1	0	0.09761	0.04264	-0.152	-0.08927	0.09761	-0.04394	0.09761	0.1763	-0.02915	0.1243	-0.2688	0.3219	0.1506	-0.0145	-0.415	0.1763	0.251	-0.0145	-0.02915	0.3251	0.2388	0.1243	0.31965	0.1506	0.27485	0.4957	0.2828	0.1635	0.2141	-0.5146	0.2141	-0.7131	0.669	0.8074	0.6135
leuD 	b0071	isopropylmalate_isomerase_subunit	0.7327012661	0.025	-5.3219280949	-0.5778	-0.4739	-0.1681	-0.9714	0.1635	-0.08927	-0.4739	0.111	-0.2176	-0.4941	-0.08927	0	0.1243	-0.2863	0.3103	0.04264	-0.05889	-0.1361	-0.04394	0.11644	0.251	0.189	0.4851	0.3674	0.32575	0.4957	0.5385	0.3219	0	0.4114	1.007	1.104	0.4114	0.1763	0.189
leuC 	b0072	3-isopropylmalate_isomerase_(dehydratase)_subunit	0.0432672896	1	0	0.7137	-0.1844	0.3896	1.269	0.9709	-0.1361	0.251	0.01436	0.6041	0.585	-0.9714	-0.6897	-0.6897	-0.737	-0.4739	-0.7612	-0.415	-1.152	-0.074	0.3832	0.1506	-0.04394	0.5365	0.07039	0.63215	0.2987	0.26805	0.4647	0.01436	0.8953	0.848	0.6135	-0.2345	-0.415	-0.3585
leuB 	b0073	3-isopropylmalate_dehydrogenase	0.4923641768	0.939875	-0.0894591986	-0.3585	-0.7612	0.433	0.1506	0.3334	0.01436	0.4005	0.1243	0.3334	0.5558	-0.2863	-0.8365	-1.184	-1.252	-0.02915	-0.7859	-0.3959	-0.9434	0.3219	0.55085	0.4647	1.124	0.5293	0.9928	0.6989	0.2265	0.3345	1.496	1.31	1.696	1.911	1.778	-0.04394	-0.3771	0.1375
leuA 	b0074	2-isopropylmalate_synthase	0.1735761459	1	0	0.3561	-0.3959	0.5261	0.05658	0.5753	0.1243	0.1506	0.3219	0.6781	0.6781	-0.7859	-0.5564	-0.6439	-1.322	-0.4344	-0.08927	0.1375	-1.286	0.1506	0.63425	0.4436	-0.3585	0.67295	0.4542	0.71805	0.5558	0.42	1	0.4751	1.444	1.506	1.098	-0.8365	-1.286	-1.059
leuL 	b0075	leu_operon_leader_peptide	-0.1674485578	1	0	-0.3959	-0.304	0.251	-0.2176	-0.6666	0.2987	0.2869	0.4114	0	-1.089	0.1506	0.1763	-0.3585	-1.059	1.664	-0.152	-0.2688	-0.3585	0.2265	0.271	0.04264	0.2265	-0.014575	0.02857	0.02275	0.07039	0.035195	-0.1844	-0.3959	-0.304	-0.5353	-1.218	-3.184	-0.883852	-1.278916
leuO 	b0076	probable_transcriptional_activator_for_leuABCD_operon	0.1696280207	1	0	-0.1361	-0.8365	-0.05889	-0.6897	0.9782	-1.358	-0.9159	-0.7131	-0.7859	0.02857	-0.6897	0.84	0.669	-0.6897	-0.3219	0.6415	0.9107	-0.7859	-1.12	-0.01568	0.263	-0.304	0.16345	1.029	0.33825	0.4436	0.2057	3.147	-1.322	1.714	1.546	0.7049	-1.474	-1.35231	-1.737
ilvH 	b0078	acetolactate_synthase_III,_valine_sensitive,_small_subunit	0.2765254214	1	0	0.02857	-0.3771	0.189	-0.2009	0.02857	-0.5778	-0.1361	0.07039	-0.1361	0.7137	-1.218	-0.6897	-1	-1	-1.029	-0.8365	-0.5564	-1.358	0.2141	0.2449	0.3674	0.3674	0.2323	0.6229	0.32975	0.5261	0.34355	1.176	0.1375	0.189	-0.2688	-0.454	-0.3771	0.107291	0.1375
fruL 	b0079	fruR_leader_peptide	-0.2575605469	1	0	-0.1844	0.1375	0.1375	-0.1361	-0.811	0.7908	0.4751	0.189	0.2987	0.1506	0.4647	0.7225	0.4542	0.7049	2.934	0.3448	0.4957	0.2869	0.3448	0.5352	0.6041	0.09761	0.35575	0.263	0.56295	-0.1844	0	-0.1681	-0.3585	-0.2009	-0.5995	-1.089	-0.389492	-0.811	-0.3401
fruR 	b0080	transcriptional_repressor_of_fru_operon_and_others	-0.2187875416	1	0	0.05658	-0.2515	0.111	0.6415	-0.3401	-0.05889	0.1375	-0.2009	0.926	0.5558	-0.737	-0.6666	0.3785	-0.889	-0.8625	-0.4739	0.1506	-0.5353	-0.737	0.4174	-0.08927	-0.7859	0.48065	-0.05889	0.5821	0.3785	0.06215	0	-0.6215	-0.2176	-0.4941	-0.3585	-0.7859	-0.4739	-1.12
yabB 	b0081	orf,_hypothetical_protein	-0.4547838132	0.999875	-0.0001803482	0.3448	0.4542	0.09761	-0.074	0.3448	-0.2009	-0.1361	0.1506	-0.04394	0.3334	0.275	0.8639	0.8953	0.3334	0.251	1.316	1.614	0.757	-0.2515	-0.9162	-0.811	-0.3585	-0.72545	0.3674	-0.6559	0.585	0.2828	-1.474	-0.5778	-1.396	-1.252	-1.152	0.3561	0	-0.2515
yabC 	b0082	putative_apolipoprotein	-0.2113351024	1	0	0.07039	0.4005	-0.304	-0.3771	0.4542	-0.4344	-0.2515	-0.2009	-0.2345	-0.05889	0.263	0.848	0.5656	0.2016	0.01436	0.9411	1.305	0.4957	-0.2688	-0.34135	-0.3219	-0.454	-0.125755	0.433	-0.155195	0.4751	0.30205	-1.12	-0.454	-0.8625	-0.9714	-0.4344	0.05658	0.07039	0.189
ftsL 	b0083	cell_division_protein;_ingrowth_of_wall_at_septum	0.0719720298	1	0	-0.1844	0.1243	0.08406	-0.2176	-0.1844	-0.2688	-0.2515	-0.3959	-0.152	-0.2345	1.373	0.84	0.8718	0.07039	0.9107	1.208	1.465	0.6323	-0.04394	0.36785	0.3561	0	0	0.263	0.7638	0.4647	0.10705	0.1243	0.09761	0.1635	-0.1203	-0.3401	-0.08927	-0.1681	0.2141
ftsI 	b0084	septum_formation;_penicillin-binding_protein_3;_peptidoglycan_synthetase	0.4134510407	0.986	-0.0203404483	0.2869	0.111	0.3561	0.263	0.4222	-0.2688	-0.1844	0.05658	-0.2176	-0.2688	-0.3401	0.2987	0.3896	-0.1844	-0.2688	0.6871	1	0.2141	0.07039	-0.1696	-0.1681	0.2141	-0.184625	0.7908	-0.08405	0.856	0.6255	0.696	0.5361	0.8875	0.5558	0.7137	0.1243	0.111	0.2265
murE 	b0085	meso-diaminopimelate-adding_enzyme	0.5528378397	0.04775	-4.3883554566	-0.074	-0.2009	-0.1681	-0.304	-0.2345	-0.05889	-0.4739	-0.3219	-0.1203	-0.5353	0.263	0	-0.02915	-0.7131	0.07039	0.2016	0.4114	0.1375	0.7137	-0.015	-0.152	0.08406	-0.0219	0.3896	-0.21795	0.6229	0.16095	0.4114	0.3103	0.6599	0.189	-0.1047	0.275	0.02857	0.189
murF 	b0086	D-alanine:D-alanine-adding_enzyme	0.4791095775	0.71525	-0.4834805023	0.07039	-0.1203	-0.02915	-0.1844	-0.5146	-0.3219	-0.5353	-0.5146	0.01436	-0.6439	-0.4739	0.3785	-0.02915	-0.2515	-0.4739	0.1506	0.4114	0.1375	0.5656	-0.4224	0.1375	-0.152	-0.34905	0.05658	-0.78675	0.275	0.06215	0.7485	0.9635	1.029	0.4222	1.077	0.2987	0.1243	0.1763
murD 	b0088	UDP-N-acetylmuramoylalanine-D-glutamate_ligase	0.1735900384	1	0	0	-0.074	-0.152	0.05658	-0.889	-0.1361	-0.3771	-0.6666	-0.3401	-0.8625	-0.5353	0	-0.08927	-0.7131	-0.2863	-0.304	0.3219	-0.05889	0.4005	-0.20925	0.1506	-0.1844	-2.24505	-0.05889	-1.0145	0.2141	0.1255	0.3561	0.2987	0.3219	-0.3771	-0.1681	0.3674	0.1506	0.2141
murG 	b0090	UDP-N-acetylglucosamine:N-acetylmuramyl-_(pentapeptide)_pyrophosphoryl-undecaprenol_N-acetylglucosamine_transferase	0.4178243387	0.994875	-0.0074128237	0.4114	0.2388	0.3448	0.02857	-0.5564	0.189	-0.415	-0.2863	-0.3771	-0.9159	-0.811	-0.074	-0.2863	-0.811	-0.2515	-0.811	0.4854	-0.02915	0.2987	-0.2136	-0.2009	0.2265	-0.08896	0.2265	-0.5778	0.05658	0.06215	0.433	1.104	0.5261	-0.454	0.1506	0.757	0.6871	1.151
murC 	b0091	L-alanine_adding_enzyme,_UDP-N-acetyl-muramate:alanine_ligase	0.0515961541	1	0	0.189	0.05658	0.05658	-0.3401	-0.9159	-0.05889	-0.3959	-0.5146	-0.6666	-0.889	0.02857	-0.074	-0.04394	-0.05889	0	-0.3401	0.3896	0.3561	0.4005	-0.00944	0.2388	0.3219	-0.33272	0.04264	-1.218	-0.3219	-0.26765	-0.6215	-0.02915	0.5261	-2.252	-1.434	0.8953	0.8156	1.176
ddlB 	b0092	D-alanine-D-alanine_ligase_B,_affects_cell_division	0.1039478066	1	0	0.2987	0.251	0.251	-0.08927	-0.4941	-0.1844	-0.1203	-0.1681	-0.04394	-0.4344	-0.1203	0.2141	0.111	-0.4344	-0.3959	-0.6215	0.2016	0.07039	-0.0145	-0.26765	-0.2176	0.2016	-0.389485	-0.3585	-1.34	-0.454	-0.2782	0.275	0.6415	0.251	-0.3771	-0.4941	1.091	1.233	1.511
ftsQ 	b0093	cell_division_protein;_ingrowth_of_wall_at_septum	-0.0862956	1	0	0.3334	0.275	0.2016	0.09761	0.263	0.04264	-0.1203	-0.02915	0.01436	0.07039	0.696	0.6508	0.6229	0.111	0.263	0.01436	-0.6215	0.4647	0.01436	0.2569	-0.02915	0.3334	0.2701	0.189	-0.2782	-0.304	-0.076	-0.3219	0.05658	0.2388	-0.889	-0.5146	1.014	0.9928	1.373
ftsA 	b0094	ATP-binding_cell_division_protein,_septation_process,_complexes_with_FtsZ,_associated_with_junctions_of_inner_and_outer_membranes	0.1777053358	1	0	0.3219	0.2987	0.3219	0.3219	0.3219	0.111	-0.1844	-0.2345	0.05658	-0.1203	0.4222	0.7655	0.6508	0.111	-0.08927	-0.2688	0.6781	0.2141	0.1506	0.26285	0.2265	0.3103	0.256995	-0.152	-0.161885	-0.2009	-0.3333	0.6323	0.84	0.84	0.05658	0.1506	0.9336	1.144	1.718
ftsZ 	b0095	cell_division;_forms_circumferential_ring;_tubulin-like_GTP-binding_protein_and_GTPase	0.003144725	1	0	0.2265	0.251	-0.08927	-0.074	0.2869	0.1243	0.02857	-0.1203	-0.2009	-0.152	0.7398	0.6871	0.7655	0.5261	0.5361	0.4751	0.7485	0.5261	0.585	-0.1292	0.1763	0.433	-0.0975	0.07039	-0.5052	-0.3585	-0.12575	0.04264	0.1635	1.064	-0.5353	-0.4344	0.8953	0.9486	1.428
lpxC 	b0096	UDP-3-O-acyl_N-acetylglucosamine_deacetylase;_lipid_A_biosynthesis	0.4970909119	0.9795	-0.0298826024	0.275	0.3896	0.3448	0.2141	0.05658	0.4647	0.4114	0.4436	0.1635	0.2869	-0.2176	-0.304	-0.3401	-0.454	-0.04394	-0.454	-0.2345	0.02857	0.5261	-0.03976	0.05658	0.774	0.28937	0.9709	0.19365	0.4647	0.32995	0.5059	0.9855	1.138	0.7225	0.3103	1.362	1.803	1.836
yacA 	b0097	orf,_hypothetical_protein	0.078803328	1	0	0.2016	0.3448	0.3334	0.7398	-0.0145	0.516	0.3561	0.3448	0.6229	0.3219	0.4542	-0.3219	0.4542	-0.074	-0.415	-0.8365	-0.3219	-0.1361	0.4647	0.7923	0.04264	0.8953	0.9879	1.084	1.15035	0.9561	0.4037	-0.3959	0.07039	-0.1361	-0.02915	0	0.546	0.585	0.4751
mutT 	b0099	7,8-dihydro-8-oxoguanine-triphosphatase,_prefers_dGTP,_causes_AT-GC_transversions	-0.2314224554	1	0	0.4647	0.585	0.433	0.05658	-0.152	0.1506	0.3103	-0.04394	-0.4739	-0.05889	-0.8365	-0.7859	-0.3771	-0.6215	-0.3219	-0.9434	-0.3959	-0.3771	0.09761	0.15335	-0.0145	0.1506	0.31555	0.1635	0.2271	-0.2009	-0.2172	-0.7859	-0.4344	-0.6897	-1.089	-1.089	0.2265	0.08406	-0.7131
b0100 	b0100	orf,_hypothetical_protein	-0.0621978206	1	0	0.07039	-0.3401	-0.4344	-0.2345	-0.2688	-0.1844	0.09761	0.01436	-0.1203	-0.3219	1.036	1.214	-0.3401	0.856	3.709	0.4222	0.4957	0.5558	0.1763	0.1848	0.3896	0.2388	0.3785	0.02857	0.5012	0.1635	-0.00725	0.09761	-0.04394	-0.1047	-0.6215	-0.8365	-0.454	-0.1681	-0.3959
yacG 	b0101	orf,_hypothetical_protein	-0.344583729	1	0	-0.6439	-0.3585	-0.074	-0.4739	-0.2515	0.2265	-0.05889	0.04264	-0.2176	-0.4344	0.516	-0.0145	1.144	-0.3771	0.2388	1.098	0.111	0.2388	-0.04394	0.13745	0.02857	-0.3401	0.15063	-0.0145	0.17625	-0.889	-0.3685	-0.5778	-0.8625	-1.152	-0.9714	-0.7859	-0.3585	-1.943	-0.6897
yacF 	b0102	orf,_hypothetical_protein	-0.6572756344	0.11275	-3.1488006614	-0.152	0.1506	-0.1361	-0.6439	-0.1681	0.1243	0.1375	0.111	-0.4344	-0.4344	0.3448	0.1375	-0.5564	-0.2863	0.189	-0.3959	-0.2345	-0.1203	-0.4941	-0.989	-0.9159	-0.9159	-0.594715	-0.9714	-0.63475	-1.644	-0.5	-0.5146	-0.4941	-0.2009	-1.029	-0.9714	-0.4941	-1.089	-1.12
yacE 	b0103	putative_DNA_repair_protein	-0.777775587	0.000125	-12.9657842847	0.09761	0.6229	0.251	-0.454	-0.1203	0.2987	0.1243	0.2016	-0.2009	-0.2345	0.1375	-0.1844	0.05658	0.111	-0.5353	-2.396	-1.059	-0.7859	-0.6666	-1.15595	-1.286	-0.7859	-0.621445	-0.8365	-0.8112	-1.434	-0.845	-1.837	-1.252	-1.889	-1.737	-0.8365	-0.1681	-1.322	-2.059
guaC 	b0104	GMP_reductase	-0.2911547668	1	0	0.02857	0.3219	-0.3401	-0.9714	-0.5564	-0.5995	-0.6897	-0.6897	-1.218	-0.8365	0.09761	-0.2515	0.2016	0.6135	-0.889	-1.599	-1.599	-1.515	0.251	-0.70255	-0.5995	-0.2176	-0.67925	-1.252	-0.7388	-2.837	-1.737	-0.2515	-0.3959	-0.6897	-0.6897	-0.1361	0.01436	-0.1681	-0.2009
b0105 	b0105	orf,_hypothetical_protein	-0.0831743394	1	0	0.1243	0.3219	-0.1844	-0.2863	-0.08927	-0.2345	-0.1681	-0.4739	0.05658	0.02857	1.270526	1.31	0.4005	1.183	0.7908	2.364064	2.322	1.138	0.1763	0.70775	0.8639	-0.152	0.9964	-0.2345	0.8559	0.01436	-0.12575	-0.2515	-0.3585	-0.1361	-0.4344	-0.6666	-0.2515	0.00754	-0.239674
hofC 	b0106	putative_integral_membrane_protein_involved_in_biogenesis_of_fimbriae,_protein_transport,_DNA_uptake	-0.2164741347	1	0	-0.1047	0.2388	0.02857	-0.6439	0.7049	-1.286	-1.358	-1.089	-2	-1.218	-0.3771	0.275	0.5558	-0.04394	0.2869	0.1635	0.04264	-0.2176	-0.6215	0.00417	-0.3401	0.07039	0.252615	-0.1681	0.52645	-0.6897	-1.0295	-1.434	-0.4941	-0.7131	-0.9159	-0.737	-1.69	-1.80426	-4.644
ppdD 	b0108	prelipin_peptidase_dependent_protein	-0.0729115774	1	0	0.189	0.02857	0.2869	-0.5353	0.9635	1.22	-0.889	0.3448	-0.7131	0	-1.599	-0.3585	-0.9714	-1.029	-0.2515	-4.644	-0.454	-0.6215	-0.02915	0.042575	0.251	0.7824	0.1506	0.3896	0.1506	0.01436	0.0945	-0.9434	0.05658	-0.6439	-0.889	-0.8625	-0.36425	-0.302113	-0.842035
nadC 	b0109	quinolinate_phosphoribosyltransferase	-0.6002584715	0.074	-3.756330919	0.2388	0.3103	-0.1681	0.09761	0.585	-0.1361	-0.2176	0.09761	0	0.5261	-0.7859	-0.7859	-0.4941	-1.059	-0.9714	-1.396	-1.252	-1.889	-0.2176	-1.378	-1.474	-0.6897	-1.515	-0.9434	-1.089	-1.218	-0.5295	-0.2345	-0.2863	-0.3959	-0.2515	-0.2515	-0.8365	-1.434	-1.69
ampD 	b0110	regulates_ampC	-0.4582003997	0.95725	-0.0630323398	0.263	0.111	-0.1844	0.5558	0.546	-0.0145	-0.1361	-0.02915	1.029	1	-1.12	-0.5995	-0.3585	-0.9159	-1.089	-1.358	-0.737	-1.252	-0.02915	0.3446	0.1243	-0.4739	0.182	-0.8625	0.23545	-0.2176	-0.4445	-0.6666	-0.1047	-0.5564	-0.8625	-1.322	-0.5995	-1.322	-0.889
ampE 	b0111	regulates_ampC	-0.386147947	1	0	0.02857	0.111	-0.1203	0.4647	0.8319	-0.1203	-0.3219	-0.3959	0.2388	0.4854	0.5059	0.4114	0.5945	-0.8365	0.3674	0.3896	0.4542	-0.1844	0	0.27485	0.3785	-0.2688	0.3615	-0.2515	0.25335	-0.1681	-0.14315	-0.02915	-0.5564	0.05658	-0.3585	-0.6215	-0.4941	-0.9159	-0.3585
aroP 	b0112	aromatic_amino_acid_transport_protein	-0.2499515497	1	0	0.1763	0.07039	0.1506	0.4005	0.9855	-0.4941	-0.454	-0.3585	-0.1361	0.1243	-0.811	-0.2009	-0.1047	-0.3771	-0.4941	0	0.251	-0.3959	-0.3959	0.00503	0.07039	-0.737	0.2279	-0.5146	0.3073	-0.4739	-0.4055	1.551	0.2141	-0.3585	-0.1681	-0.415	-0.8625	-1.218	-1.474
pdhR 	b0113	transcriptional_regulator_for_pyruvate_dehydrogenase_complex	-0.2736794647	1	0	0.1506	1.604	0.2869	-1.184	-1.599	-1.12	-1.556	-1.286	-2.556	-2.737	0	-0.3771	0.2141	-1.059	-0.152	0.05658	0.263	-0.4739	-1.286	-1.4445	-1.358	-1.286	-1.0617	-0.9714	-0.479	-2.943	-1.4185	-1.474	-1.69	-1.358	-2	-1.515	-0.9159	-1.515	-1.644
aceE 	b0114	pyruvate_dehydrogenase_(decarboxylase_component)	-0.127737171	1	0	0.05658	0.189	0.2265	-2.644	-3.184	-0.6215	-1.474	-1.434	-2.737	-2.943	-0.6439	-0.304	-0.1047	-1.184	-0.1361	-0.5564	0.5753	-1.152	0.3448	-1.2425	-1.152	0.01436	-1.7895	-0.4941	-2.363	-2.837	-1.9185	-0.152	-0.4739	-2.396	-4.644	-5.059	0.7049	0.6229	0.433
lpdA 	b0116	lipoamide_dehydrogenase_(NADH);_component_of_2-oxodehydrogenase_and_pyruvate_complexes;_L-protein_of_glycine_cleavage_complex	-0.0074558211	1	0	0.2016	0.4854	0.251	0.5753	0.3785	0.1375	0.2141	0.2869	0.6508	1.077	-0.9159	-0.7612	-0.3219	-1.358	-0.3585	-1	-0.1844	-0.3401	0.5059	-0.2224	-0.08927	0.1243	-0.4738	-0.2863	-0.4255	0.4436	0.1667	0.01436	0.02857	-0.2688	-0.5564	-0.4344	1.233	1.293	1.176
yacH 	b0117	putative_membrane_protein	-0.0122244058	1	0	-0.4739	0.1635	-0.3771	-0.5564	0.1243	-0.3219	-0.454	-0.2009	-0.2345	-0.2515	-0.454	0.6871	0.9928	0.09761	-0.7131	0.4854	-0.9434	0.7398	-0.6215	0.25245	0.01436	-0.152	0.111	-0.02915	0.4113	0.1506	-0.10045	-0.1844	0.4222	0.5361	0.7991	1.609	-2.12	-2.837	-2.152251
acnB 	b0118	aconitate_hydrase_B	-0.7178596752	0.037125	-4.7514651639	0.6323	1.454	0.7655	2.658	2.602	1.245	0.848	0.7312	1.811	1.614	-0.5564	-0.7612	0.1375	0.2141	-0.7612	-0.8625	-1.286	-1.059	0.7137	-0.21563	0.1506	0.4647	-0.42967	-0.415	-0.96275	-1.089	-0.737	-0.1361	-0.2345	-0.2863	-0.6439	-1.396	-0.454	-0.5564	-0.4941
yacL 	b0119	orf,_hypothetical_protein	-0.7863959065	0.000125	-12.9657842847	0.1243	0.111	0.2265	-0.304	0.02857	0.5656	0.5059	0.585	0.4751	0.4436	0.2141	0.2265	0.3561	0.4751	0.07039	-0.5778	-0.415	-0.1844	-0.3219	-0.19515	-0.2863	-0.2345	-0.45895	-0.3585	-0.47515	0.1763	-0.14315	-0.3771	-0.4344	-0.4739	-0.6439	-0.1681	-0.4739	-0.3771	-1.184
speD 	b0120	S-adenosylmethionine_decarboxylase	-0.0169668119	1	0	0.3103	0.7908	0.6599	-0.4941	-0.811	0.6323	0.3219	0.275	-0.8625	-0.6439	-0.3401	-1	-0.6215	-1.358	-0.6897	-1.515	-2.396	-1.644	0.433	-0.2614	-0.152	0.2869	-0.304	-0.304	-0.5671	-1	-0.576	-0.1361	-0.4344	0.1506	-0.2688	-0.2345	0.6415	0.3103	0.4854
speE 	b0121	spermidine_synthase_=_putrescine_aminopropyltransferase	-0.0643644368	1	0	0.8639	1.144	1.22	-0.3401	-0.454	0.669	0.4222	0.263	-1.089	-0.5564	-0.7859	-1	-1.029	-1.943	-0.9159	-2.184	-2.556	-2.252	0.4854	-0.628	-0.4739	0.1375	-0.5935	-0.7131	-0.87865	-1.152	-0.643	-0.152	0.275	0.516	0.08406	-0.3401	0.6135	0.4751	0.4957
yacC 	b0122	orf,_hypothetical_protein	-0.4352315677	0.766875	-0.3829366561	-0.0145	-0.2009	0.1635	0.04264	0.3103	-0.074	0.1635	0.05658	-0.04394	0.263	-0.304	-1	0.09761	-0.6215	-1.644	-1.786	-2.12	-1.69	-0.2515	-0.32205	-0.3771	-0.3219	-0.37135	-0.6439	-0.3516	-0.04394	-0.24705	-0.2345	0.07039	-0.3959	-0.2515	-0.4739	-2	-1.737	-5.059
yacK 	b0123	orf,_hypothetical_protein	0.2267409056	1	0	0.251	-0.2515	-0.04394	0.02857	0	0.2141	0.04264	-0.3959	-0.2688	-0.5564	-0.454	-0.4941	-0.1844	0.2987	1.239	-0.5778	-0.074	0.1635	-0.0145	0.635	0.5656	-0.2515	0.6041	-0.9434	0.6478	-1	-0.43125	1.465	0.1243	0.9635	0.8797	1.195	-0.454	-0.6215	-0.5995
hpt 	b0125	hypoxanthine_phosphoribosyltransferase	-0.2406382372	1	0	0.08406	0.5753	0.05658	-0.4739	-0.08927	0.263	0.4114	0.4114	-0.08927	0.2141	-1.358	-1.515	-0.6897	-1.12	-1.515	-2.322	-1.434	-1.786	-0.3771	-0.281585	-0.415	-0.5995	-0.40045	-0.9714	-0.2984	-0.02915	-0.661	-0.304	-0.3585	-0.454	-0.7131	-0.5778	-0.1203	-0.152	-0.5146
yadF 	b0126	putative_carbonic_anhdrase_(EC_4.2.1.1)	-0.8451004844	0.000125	-12.9657842847	0.1243	0.3103	-0.0145	0.6041	0.7485	-0.1203	-0.1844	0.04264	0.6599	0.7398	0.08406	0.3561	-0.5146	0.3785	-1.12	-1.322	-0.7131	-1.152	-0.4344	-0.97825	-1.152	-0.6666	-1.1875	-1.218	-1.0045	-1.474	-0.7575	-0.08927	-0.3401	-0.889	-1.059	-0.9159	-0.3771	-0.8625	-1.059
